molecule_chembl_id,pIC50_mean,pIC50_median,pIC50_std,pIC50_min,pIC50_max,measurement_count,pIC50_range,canonical_smiles,assay_count,document_count
CHEMBL1729,7.3108825276682055,7.398973915543969,0.7376704135647342,4.589391457431632,8.18996921359416,40,3.6005777561625285,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,40,37
CHEMBL17157,6.91791869042146,6.890016705180107,0.716642957068455,4.251811972993799,8.050609993355087,29,3.7987980203612874,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,29,25
CHEMBL296419,7.934158205250781,8.096910013008056,1.0350380046202838,5.568636235841012,9.045757490560675,25,3.4771212547196626,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,24,24
CHEMBL74656,7.23492308130293,7.494850021680094,0.9232269189423272,4.6020599913279625,8.698970004336019,23,4.096910013008056,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@H]1OC,23,23
CHEMBL473,7.458340875716686,7.853871964321762,0.938505369406957,4.356547323513812,8.387216143280265,23,4.030668819766452,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,23,21
CHEMBL6966,6.602752539662399,6.6338031200885155,0.46404829543153986,5.508638306165727,8.0,22,2.491361693834273,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,22,22
CHEMBL85,6.45946018398983,6.777283528852417,0.4663540614441548,5.377775612133956,6.83000246293343,19,1.452226850799474,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,19,19
CHEMBL327980,7.914225514730059,7.699513552156626,0.7619449483594728,7.154901959985743,10.537602002101044,18,3.3827000421153013,Cc1cccc(CCN2CCC(C(=O)c3ccc(NS(C)(=O)=O)cc3)CC2)n1,18,18
CHEMBL45816,5.8616734732958715,5.853871964321762,0.14923045800917503,5.481486060122112,6.236572006437063,17,0.7550859463149511,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,17,17
CHEMBL54,7.186864049035747,7.51999305704285,0.711063303640815,5.853871964321762,8.0,15,2.146128035678238,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,15,15
CHEMBL629,5.196533879608203,5.0,0.29508760829701225,4.754748974705894,5.7423214251308154,15,0.9875724504249215,CN(C)CCC=C1c2ccccc2CCc2ccccc21,15,15
CHEMBL536480,7.012668880239782,7.050609993355087,0.9463775821267695,5.168770306132936,8.0,13,2.831229693867064,Cc1cccc(CCN2CCC(C(=O)c3ccc(NS(C)(=O)=O)cc3)CC2)n1.Cl.Cl,13,10
CHEMBL1423,7.471181563253072,7.698970004336019,0.6186205135273686,5.769551078621726,8.51999305704285,13,2.750441978421124,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,13,13
CHEMBL12713,8.04141844514806,7.853871964321762,0.2906716376349736,7.830031826003108,8.568636235841012,13,0.7386044098379045,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,13,13
CHEMBL42,6.0622431971066035,6.338545775671872,0.6203109080865604,4.975883927173229,6.719991046891813,12,1.744107119718584,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,12,12
CHEMBL850,4.522914298560285,4.579999998661813,0.2512478726583713,3.8941493256148565,4.7447274948966935,12,0.850578169281837,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,12,8
CHEMBL1107,6.842685691958159,6.708876931294602,0.2628339443985052,6.699991797446187,7.3979400086720375,12,0.6979482112258504,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,12,12
CHEMBL479,6.949619244946276,7.019996628416253,0.571435396544793,5.799149501908923,7.481486060122112,11,1.6823365582131888,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,11,11
CHEMBL32,3.8716573445670766,3.889999983714797,0.16843398258669498,3.400000000603809,4.100000018985305,11,0.7000000183814965,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,11,10
CHEMBL1008,6.49015052431708,6.260000690598032,0.5814689629599631,5.853871964321762,7.6399749108106025,10,1.7861029464888407,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,10,10
CHEMBL192,4.770148664870648,4.99000005632961,0.768484303818748,3.7999999979341847,5.481486060122112,10,1.6814860621879273,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,10,8
CHEMBL175691,6.218944196720011,6.301029995663981,0.2595780882175897,5.480172006224281,6.301029995663981,10,0.8208579894397001,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,10,10
CHEMBL1108,7.328323457196332,7.489991487059765,0.48581185168809465,6.03282657704446,7.492144128304169,9,1.4593175512597085,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,9,9
CHEMBL6006710,5.419366654421917,5.346787486224656,0.21773750459178126,5.346787486224656,6.0,9,0.653212513775344,FC(F)(F)c1ccc(C(F)(F)CN2CCC(Nc3ncnc4[nH]ncc34)CC2)cc1,9,8
CHEMBL376488,5.95816854450236,5.795880017344075,0.2755395598137711,5.795880017344075,6.431798275933005,9,0.63591825858893,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,9,8
CHEMBL71,5.76443113430277,5.829999526735649,0.1987209275758918,5.234517717807385,5.8326826652518236,9,0.5981649474444382,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,9,9
CHEMBL583,4.2227807541324855,4.300000029139089,0.12198716405187376,3.9829666607012193,4.301029995663981,9,0.31806333496276196,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,9,9
CHEMBL715,6.366018543263032,6.715004138068466,0.9570834663586614,4.0,6.7423214251308154,8,2.7423214251308154,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,7,7
CHEMBL1294,5.977594733260973,6.395517451825291,0.8326340587471631,4.111708154643485,6.522878745280337,8,2.4111705906368526,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,8,8
CHEMBL72,5.569401363664239,5.856985199745905,0.5314615771746647,4.55517947873249,5.860001341725205,8,1.304821862992715,CNCCCN1c2ccccc2CCc2ccccc21,8,8
CHEMBL85606,5.821250388347844,5.700000503883016,0.22465424717583501,5.700000503883016,6.199998172182031,8,0.4999976682990148,N#Cc1ccc2c(c1)CCN(CC[C@H]1CC[C@H](NC(=O)c3ccnc4ccccc34)CC1)C2,8,8
CHEMBL914,4.593506620092103,4.639136049077685,0.16489399493883233,4.187086643357144,4.6700000181810175,8,0.4829133748238732,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,8,8
CHEMBL5315124,2.883938906635761,2.998593110387663,0.19484777785659502,2.638272163982407,3.039999999693288,8,0.4017278357108811,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O,8,4
CHEMBL94454,6.393935634624542,6.35999585346894,0.048123526121313195,6.355561410532161,6.455931955649724,8,0.10037054511756338,CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,8,8
CHEMBL31,3.8890141497093884,3.889999983714797,0.0018254098744929978,3.886056647693163,3.889999983714797,8,0.003943336021634103,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,8,8
CHEMBL11,5.469630420831466,5.470000200122707,0.0006846982006201661,5.468521082957745,5.470000200122707,8,0.0014791171649619628,CN(C)CCCN1c2ccccc2CCc2ccccc21,8,8
CHEMBL3305167,5.533427133667759,4.7447274948966935,1.4585368341280378,4.585026652029182,7.7447274948966935,7,3.1597008428675117,COc1ccc2ncc(F)c(C[C@H](O)C34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,7,4
CHEMBL41,6.031316144354352,5.820000358220838,0.9690386920296499,4.910575349755107,8.0,7,3.0894246502448928,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,7,7
CHEMBL998,6.428565701010313,6.761953896871205,0.8910105538151004,4.407972105609161,6.770011163455189,7,2.3620390578460277,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,7,7
CHEMBL123558,6.099964537683247,6.250001023441651,0.23955405150707818,5.849999245077862,6.3979400086720375,7,0.5479407635941751,CN1CCN(CCCCN2C(=O)CN(/N=C/c3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1,7,7
CHEMBL708,6.871601033310171,6.900008766455315,0.049438417463856035,6.818156412055227,6.919987152892072,7,0.10183074083684485,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,7,7
CHEMBL3,3.6105933631618727,3.6100000027750427,0.0010133557871708717,3.6100000027750427,3.612076995231334,7,0.0020769924562911157,CN1CCC[C@H]1c1cccnc1,6,6
CHEMBL23,4.76055822567941,4.759999957202692,0.0009534249325195239,4.759999957202692,4.761953896871205,7,0.001953939668513094,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,7,7
CHEMBL549,5.729654080650675,5.40000018605658,1.1397322489355857,4.7779237396777265,8.0,6,3.2220762603222735,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,6,6
CHEMBL370805,5.709424526187338,5.189999964386248,1.297745038082961,5.139999976065226,8.356547323513812,6,3.2165473474485857,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,6,6
CHEMBL723,5.280184685584314,4.97999981255505,0.6013781009798537,4.900000142057633,6.455931955649724,6,1.5559318135920917,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,6,6
CHEMBL657,4.846793951499617,4.569999968362492,0.46815881247882574,4.496767860088488,5.589999287456538,6,1.0932314273680506,CN(C)CCOC(c1ccccc1)c1ccccc1,6,6
CHEMBL193,4.0522515652306454,4.300000029139089,0.3838182471903878,3.5528419686577806,4.300000029139089,6,0.7471580604813086,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],6,6
CHEMBL219916,6.865087657262265,6.790002703917631,0.1836836556207529,6.790002703917631,7.2400301424456925,6,0.4500274385280614,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,6,6
CHEMBL3400819,4.7260485619622035,4.733444580947324,0.14189386599362183,4.522878745280337,4.910094888560602,6,0.38721614328026455,O=C1COc2ccc(CNC34CCC(CC5Cn6c(=O)ccc7ncc(F)c5c76)(CC3)OC4)nc2N1,2,1
CHEMBL2368925,5.070913818098247,5.069999929330243,0.16532975731314395,4.920000156997057,5.22548303427145,6,0.30548287727439316,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,6,6
CHEMBL2204935,5.617310127599965,5.613985917337573,0.16303092570986416,5.468521082957745,5.769551078621726,6,0.30102999566398125,Cc1nc([C@]2(c3cnn(C)c3)N[C@@H](c3nc(-c4ccc(F)cc4)c[nH]3)Cc3c2[nH]c2ccccc32)no1,6,3
CHEMBL61301,7.552185679607255,7.550059011226662,0.004003751372839993,7.550059011226662,7.560036064079095,6,0.009977052852432777,Fc1ccc(Cn2c(NC3CCNCC3)nc3ccccc32)cc1,6,6
CHEMBL75880,5.109650953927742,5.110000065251387,0.0008551446063564921,5.107905397309519,5.110000065251387,6,0.002094667941867634,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,6,6
CHEMBL639,7.0,7.0,0.0,7.0,7.0,6,0.0,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,6,5
