molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pIC50,pchembl_value,assay_chembl_id,document_chembl_id,target_chembl_id,target_pref_name,target_organism,assay_type,activity_comment
CHEMBL6009034,C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@@H](c2ccc(NC3CN(CCCF)C3)cc2)N1CC(F)(F)F,IC50,=,0.81,nM,9.09151498112135,9.09,CHEMBL5735025,CHEMBL5727624,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,887421
CHEMBL6009034,C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@@H](c2ccc(NC3CN(CCCF)C3)cc2)N1CC(F)(F)F,IC50,=,7900.0,nM,5.102372908709558,5.1,CHEMBL5731674,CHEMBL5725903,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,576019
CHEMBL6009948,O=C(Nc1ccc([C@H]2CNCCO2)cc1)c1ccn(-c2ccccc2)n1,IC50,=,10750.0,nM,4.968591535748375,4.97,CHEMBL5734655,CHEMBL5727433,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,852543
CHEMBL6009948,O=C(Nc1ccc([C@H]2CNCCO2)cc1)c1ccn(-c2ccccc2)n1,IC50,=,10750.0,nM,4.968591535748375,4.97,CHEMBL5738029,CHEMBL5729081,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,1163436
CHEMBL6010490,Clc1ccc(-n2cc(Cn3ncnc3C3CCCC3)nn2)cc1,IC50,=,12500.0,nM,4.903089986991944,4.9,CHEMBL5733977,CHEMBL5727077,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,792962
CHEMBL6010490,Clc1ccc(-n2cc(Cn3ncnc3C3CCCC3)nn2)cc1,IC50,=,12500.0,nM,4.903089986991944,4.9,CHEMBL5734036,CHEMBL5727110,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,796364
CHEMBL6011841,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2cc(OCCNCCCF)cc(F)c2F)N1CC(F)(F)F,IC50,=,2300.0,nM,5.638272163982407,5.64,CHEMBL5733101,CHEMBL5726655,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,714805
CHEMBL6011841,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2cc(OCCNCCCF)cc(F)c2F)N1CC(F)(F)F,IC50,=,2300.0,nM,5.638272163982407,5.64,CHEMBL5735028,CHEMBL5727625,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,887700
CHEMBL6011841,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2cc(OCCNCCCF)cc(F)c2F)N1CC(F)(F)F,IC50,=,2300.0,nM,5.638272163982407,5.64,CHEMBL5737036,CHEMBL5728574,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,1062278
CHEMBL6013533,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2cncc(OCCNCCCF)c2)N1CC(F)(F)F,IC50,=,7100.0,nM,5.1487416512809245,5.15,CHEMBL5733101,CHEMBL5726655,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,714873
CHEMBL6013533,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2cncc(OCCNCCCF)c2)N1CC(F)(F)F,IC50,=,7100.0,nM,5.1487416512809245,5.15,CHEMBL5735028,CHEMBL5727625,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,887768
CHEMBL6013533,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2cncc(OCCNCCCF)c2)N1CC(F)(F)F,IC50,=,7100.0,nM,5.1487416512809245,5.15,CHEMBL5737036,CHEMBL5728574,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,1062283
CHEMBL6014639,Nc1ccc(-c2ccc(F)cc2)cc1NC(=O)c1ccc(N2CCNCC2)cn1,IC50,=,2500.0,nM,5.6020599913279625,5.6,CHEMBL5735720,CHEMBL5727940,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,951752
CHEMBL6014639,Nc1ccc(-c2ccc(F)cc2)cc1NC(=O)c1ccc(N2CCNCC2)cn1,IC50,=,2500.0,nM,5.6020599913279625,5.6,CHEMBL5738851,CHEMBL5729514,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,1236146
CHEMBL6016064,Cc1ccc(-n2c(-c3cnc(N4CCOCC4)nc3)cc3ccncc32)cc1,IC50,=,550.0,nM,6.259637310505756,6.26,CHEMBL5734464,CHEMBL5727342,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,830444
CHEMBL6016064,Cc1ccc(-n2c(-c3cnc(N4CCOCC4)nc3)cc3ccncc32)cc1,IC50,=,550.0,nM,6.259637310505756,6.26,CHEMBL5734466,CHEMBL5727343,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,830657
CHEMBL6016064,Cc1ccc(-n2c(-c3cnc(N4CCOCC4)nc3)cc3ccncc32)cc1,IC50,=,550.0,nM,6.259637310505756,6.26,CHEMBL5735756,CHEMBL5727959,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,955371
CHEMBL6016138,FC(F)(CN1CCC(Nc2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cn1,IC50,=,7000.0,nM,5.154901959985743,5.16,CHEMBL5731381,CHEMBL5725728,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,548524
CHEMBL6016138,FC(F)(CN1CCC(Nc2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cn1,IC50,=,7000.0,nM,5.154901959985743,5.16,CHEMBL5733885,CHEMBL5727025,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,786583
CHEMBL6016138,FC(F)(CN1CCC(Nc2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cn1,IC50,=,7000.0,nM,5.154901959985743,5.16,CHEMBL5734394,CHEMBL5727305,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,825445
