,correlation
LogP,0.20832253382787158
TPSA,-0.13702087964743692
HBA,-0.10495089316646672
HBD,-0.09967437508387879
RotatableBonds,0.07992315705612399
AromaticRings,0.07061577727937117
FormalCharge,0.057008652192948914
RingCount,0.039918579039695666
MolWt,0.021169165331789183
FractionCSP3,-0.012331313771737497
NumAtoms,0.006686484207594267
HeavyAtomCount,0.006590930704155816
