molecule_chembl_id,canonical_smiles,median_pIC50,mean_pIC50,min_pIC50,max_pIC50,number_of_measurements,pIC50_std,pIC50_range,variability,unique_assays,unique_documents,min_IC50_nM,max_IC50_nM,MolWt,LogP,HBD,HBA,TPSA,RotatableBonds,RingCount,AromaticRings,FractionCSP3,HeavyAtomCount,FormalCharge,NumAtoms
CHEMBL3425941,O=c1ccc2ncc(F)c3c2n1C[C@@]3(O)CC12CCC(NCCCc3cc(F)ccc3F)(CC1)CO2,7.494850021680094,7.494850021680094,7.494850021680094,7.494850021680094,1,0.0,0.0,Low,1,1,32.0,32.0,499.53300000000036,3.7093000000000025,2.0,5.0,76.38000000000001,7.0,7.0,3.0,0.48148148148148145,36.0,0.0,36.0
CHEMBL3425942,O=c1ccc2ncc(F)c3c2n1C[C@@]3(O)CC12CCC(NCOc3cc(F)ccc3F)(CC1)CO2,7.1938200260161125,7.1938200260161125,7.1938200260161125,7.1938200260161125,1,0.0,0.0,Low,1,1,64.0,64.0,487.4780000000003,3.1130000000000013,2.0,6.0,85.61000000000001,6.0,7.0,3.0,0.44,35.0,0.0,35.0
CHEMBL3425943,O=c1ccc2ncc(F)c3c2n1C[C@@]3(O)CC12CCC(NCc3cc(-c4cccs4)on3)(CC1)CO2,7.795880017344075,7.795880017344075,7.795880017344075,7.795880017344075,1,0.0,0.0,Low,1,1,16.0,16.0,508.57500000000033,3.7150000000000025,2.0,8.0,102.41000000000001,6.0,8.0,4.0,0.4230769230769231,36.0,0.0,36.0
CHEMBL343822,O=C1c2ccccc2C(Cc2ccnc(F)c2)(Cc2ccnc(F)c2)c2ccccc21,4.494850021680094,4.494850021680094,4.494850021680094,4.494850021680094,1,0.0,0.0,Low,1,1,32000.0,32000.0,412.439,5.070700000000003,0.0,3.0,42.85,4.0,5.0,4.0,0.11538461538461539,31.0,0.0,31.0
CHEMBL344227,O=C(/C=C/c1ccc(CNCCc2c[nH]c3ccccc23)cc1)NO,4.561299467099263,4.561299467099263,4.561299467099263,4.561299467099263,1,0.0,0.0,Low,1,1,27460.0,27460.0,335.40700000000004,3.0188000000000006,4.0,3.0,77.15,7.0,3.0,3.0,0.15,25.0,0.0,25.0
CHEMBL351231,C[C@@H]1CCCN1CCc1cc2cc(-c3ccc(C#N)cc3)ccc2o1,5.795880017344075,5.795880017344075,5.795880017344075,5.795880017344075,1,0.0,0.0,Low,1,1,1600.0,1600.0,330.4310000000001,4.998280000000005,0.0,3.0,40.17,4.0,4.0,3.0,0.3181818181818182,25.0,0.0,25.0
CHEMBL353985,COc1ccc(CCN(C)CCOc2ccc(NS(C)(=O)=O)cc2N)cc1OC,6.0,6.0,6.0,6.0,1,0.0,0.0,Low,1,1,1000.0,1000.0,423.5350000000002,2.2108,2.0,7.0,103.12,11.0,2.0,2.0,0.4,29.0,0.0,29.0
CHEMBL3544911,COc1cccc(OCCCN)c1-c1cc(Nc2cnc(C#N)cn2)n[nH]1,5.090228032229065,5.090228032229065,4.698970004336019,5.481486060122112,2,0.5533224094336973,0.7825160557860933,Moderate,2,2,3300.0,20000.0,365.397,2.2181799999999994,3.0,8.0,134.76,8.0,3.0,3.0,0.2222222222222222,27.0,0.0,27.0
CHEMBL3544912,Cl.NC(=O)[C@@H]1CC[C@H](c2ccc(OCc3ccccc3F)cc2)N1,4.900000142057633,4.900000142057633,4.900000142057633,4.900000142057633,1,0.0,0.0,Low,1,1,12589.25,12589.25,350.821,3.1049000000000015,2.0,3.0,64.35000000000001,5.0,3.0,2.0,0.2777777777777778,24.0,0.0,24.0
CHEMBL3545097,CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21,3.7569619513137056,3.7569619513137056,3.7569619513137056,3.7569619513137056,1,0.0,0.0,Low,1,1,175000.0,175000.0,309.333,2.3798000000000004,2.0,7.0,121.67,2.0,4.0,4.0,0.2,23.0,0.0,23.0
CHEMBL3545154,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,6.038578905933552,6.038578905933552,6.038578905933552,6.038578905933552,1,0.0,0.0,Low,1,1,915.0,915.0,491.3500000000003,5.383700000000005,1.0,6.0,76.58,6.0,4.0,3.0,0.2608695652173913,33.0,0.0,33.0
CHEMBL3545367,Cc1ncc(OC[C@@]2(c3cccc(F)c3)C[C@H]2C(=O)Nc2ccc(F)cn2)c(C)n1,5.214670164989233,5.214670164989233,5.214670164989233,5.214670164989233,1,0.0,0.0,Low,1,1,6100.0,6100.0,410.4240000000001,3.742040000000002,1.0,5.0,77.0,6.0,4.0,3.0,0.2727272727272727,30.0,0.0,30.0
CHEMBL3546703,CN(C)c1ccc(-c2cc3nccnc3c(OC[C@H]3CCCNC3)n2)cn1,5.0,5.0,5.0,5.0,1,0.0,0.0,Low,1,1,10000.0,10000.0,364.45300000000015,2.5312,1.0,7.0,76.06,5.0,4.0,3.0,0.4,27.0,0.0,27.0
