molecule_chembl_id,canonical_smiles,median_pIC50,mean_pIC50,min_pIC50,max_pIC50,number_of_measurements,pIC50_std,pIC50_range,variability,unique_assays,unique_documents,min_IC50_nM,max_IC50_nM
CHEMBL5832261,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)c(F)cc(OCCNCCCF)c2F)N1CC(F)(F)F,5.236572006437063,5.236572006437063,5.236572006437063,5.236572006437063,3,0.0,0.0,Low,3,3,5800.0,5800.0
CHEMBL58323,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,1.3000000000236325,1.3000000000236325,1.3000000000236325,1.3000000000236325,1,0.0,0.0,Low,1,1,50118723.36,50118723.36
CHEMBL583254,COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)CC2c2ccc(C3CC3)cc2)cc1,5.075720713938118,5.075720713938118,5.075720713938118,5.075720713938118,1,0.0,0.0,Low,1,1,8400.0,8400.0
CHEMBL5832603,CNCC(c1ccc2ccccc2c1)[C@H](CO)c1ccccc1,4.481486060122113,4.481486060122113,4.481486060122113,4.481486060122113,1,0.0,0.0,Low,1,1,33000.0,33000.0
CHEMBL5832691,Cc1cc(Cn2cc(-c3ccc(F)c(C)c3)cn2)n(C)n1,6.282329496997738,6.282329496997738,6.282329496997738,6.282329496997738,1,0.0,0.0,Low,1,1,522.0,522.0
CHEMBL583298,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(C3CN(Cc4c(O)cnc5ncccc45)C3)C(=O)O[C@]12C,3.853871964321762,3.853871964321762,3.853871964321762,3.853871964321762,1,0.0,0.0,Low,1,1,140000.0,140000.0
CHEMBL583299,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(C3CN(Cc4c(O)cnc5cccnc45)C3)C(=O)O[C@]12C,4.173925197299174,4.173925197299174,4.173925197299174,4.173925197299174,1,0.0,0.0,Low,1,1,67000.0,67000.0
CHEMBL5834106,C[C@@H]1Cc2c([nH]c3cccc(F)c23)[C@@H](c2c(F)ccc(OCCNCCCF)c2F)N1CC(F)(F)CO,5.301029995663981,5.301029995663981,5.301029995663981,5.301029995663981,3,0.0,0.0,Low,3,3,5000.0,5000.0
CHEMBL5834274,O=C(NC[C@H]1CCOC1)c1n[nH]c2ccc(-c3cccc(F)c3F)cc12,4.721246399047171,4.721246399047171,4.721246399047171,4.721246399047171,1,0.0,0.0,Low,1,1,19000.0,19000.0
CHEMBL583430,COc1ccc(CCCN2C(=O)N(NS(C)(=O)=O)C[C@@H]2c2ccc(OC)cc2)cc1,4.85078088734462,4.85078088734462,4.85078088734462,4.85078088734462,1,0.0,0.0,Low,1,1,14100.0,14100.0
CHEMBL5834447,CC(F)(F)c1cc(-n2cc(Cn3ccnc3CCO)nn2)ccc1F,8.092588639225413,8.092588639225413,8.092588639225413,8.092588639225413,2,0.0,0.0,Low,2,2,8.08,8.08
CHEMBL5834586,CC1(C)Oc2ccc(Cl)cc2C2OCC3(CCN(CCn4ccnc4)CC3)CC21,5.853871964321762,5.853871964321762,5.853871964321762,5.853871964321762,1,0.0,0.0,Low,1,1,1400.0,1400.0
CHEMBL5834633,Cc1cc(Cn2cc(-c3ccc(Cl)cc3Cl)cn2)n(C)n1,5.41907502432438,5.41907502432438,5.41907502432438,5.41907502432438,1,0.0,0.0,Low,1,1,3810.0,3810.0
CHEMBL583465,COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)CC2c2ccc(Cl)cc2)cc1,5.060480747381382,5.060480747381382,5.060480747381382,5.060480747381382,1,0.0,0.0,Low,1,1,8700.0,8700.0
CHEMBL5835675,NC(=O)N1CCC(c2c(-c3cc[nH]n3)n(-c3ccc(Cl)cc3)c3cnccc23)CC1,5.259637310505756,5.259637310505756,5.259637310505756,5.259637310505756,1,0.0,0.0,Low,1,1,5500.0,5500.0
CHEMBL583582,Fc1cc(-c2cnc3nc(N4CCC(N5CCCCC5)CC4)sc3c2)ccn1,6.690199554398266,6.690199554398266,6.690199554398266,6.690199554398266,1,0.0,0.0,Low,1,1,204.08,204.08
CHEMBL583621,CC1(C)Cc2c(CN3CCC4(CC3)CCN(C(=O)c3ccncc3)CC4)cccc2O1,4.834999913760181,4.834999913760181,4.519999959791458,5.149999867728904,2,0.44547720704946864,0.6299999079374459,Moderate,2,1,7079.46,30199.52
CHEMBL5836417,CCN(CCN1CCC(c2noc3cc(F)ccc23)CC1)C(=O)C1CCC(O)CC1,5.267606240177031,5.267606240177031,5.267606240177031,5.267606240177031,1,0.0,0.0,Low,1,1,5400.0,5400.0
CHEMBL5837030,O=C(NCC1CCOCC1)c1n[nH]c2ccc(-c3cnccc3CN3CCCC3)cc12,4.795880017344075,4.795880017344075,4.795880017344075,4.795880017344075,1,0.0,0.0,Low,1,1,16000.0,16000.0
CHEMBL5837180,COc1ccc(NCCNCCCF)nc1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1CC(F)(F)F,5.508638306165727,5.508638306165726,5.508638306165727,5.508638306165727,3,0.0,0.0,Low,3,3,3100.0,3100.0
CHEMBL5837192,FCCc1nccn1Cc1cn(-c2cc(F)cc(C(F)F)c2)nn1,6.730487055782083,6.730487055782083,6.730487055782083,6.730487055782083,1,0.0,0.0,Low,1,1,186.0,186.0
CHEMBL5837462,Fc1cccc(-c2ccn3c(CC4CC4(F)F)nnc3c2Cl)c1,4.822752163744377,4.822752163744377,4.822752163744377,4.822752163744377,1,0.0,0.0,Low,1,1,15040.0,15040.0
CHEMBL5837722,CNC[C@@H](c1ccc(Cl)c(Cl)c1)[C@H](O)c1cccc(NC(C)=O)c1,4.481486060122113,4.481486060122113,4.481486060122113,4.481486060122113,1,0.0,0.0,Low,1,1,33000.0,33000.0
CHEMBL5838048,Cc1n[nH]c(C)c1CCn1cc(-c2ccc(Cl)c(OC(F)F)c2)cn1,7.183758700008217,7.183758700008217,7.183758700008217,7.183758700008217,1,0.0,0.0,Low,1,1,65.5,65.5
CHEMBL5838051,CNC[C@@H](c1ccc(Cl)c(Cl)c1)[C@@H](O)c1ccccc1,4.958607314841775,4.958607314841775,4.958607314841775,4.958607314841775,1,0.0,0.0,Low,1,1,11000.0,11000.0
