molecule_chembl_id,number_of_measurements
CHEMBL6035199,2
CHEMBL6040464,2
CHEMBL6044807,2
CHEMBL6051432,2
CHEMBL6052379,2
CHEMBL6059656,2
CHEMBL606029,2
CHEMBL6063759,2
CHEMBL6064033,2
CHEMBL6064693,2
CHEMBL640,2
CHEMBL79,2
CHEMBL92870,2
CHEMBL9387,2
