molecule_chembl_id,number_of_measurements
CHEMBL4115594,3
CHEMBL472363,3
CHEMBL5400175,3
CHEMBL550818,3
CHEMBL556450,3
CHEMBL560177,3
CHEMBL5741566,3
CHEMBL5741828,3
CHEMBL5743400,3
CHEMBL5743773,3
CHEMBL5749111,3
CHEMBL5750839,3
CHEMBL5752521,3
CHEMBL5755360,3
CHEMBL5760349,3
CHEMBL5765975,3
CHEMBL5766240,3
CHEMBL5772929,3
CHEMBL5775252,3
CHEMBL5775436,3
CHEMBL5785143,3
CHEMBL5786268,3
CHEMBL5787351,3
CHEMBL5787584,3
CHEMBL5788221,3
CHEMBL5789323,3
CHEMBL5792644,3
CHEMBL5793973,3
CHEMBL5794076,3
CHEMBL5796450,3
CHEMBL5799995,3
CHEMBL5802422,3
CHEMBL5804138,3
CHEMBL5806385,3
CHEMBL5806518,3
CHEMBL5808293,3
CHEMBL5812119,3
CHEMBL5818403,3
CHEMBL5821554,3
CHEMBL5821714,3
CHEMBL5824583,3
CHEMBL5825800,3
CHEMBL5830899,3
CHEMBL5832006,3
CHEMBL5832261,3
CHEMBL5834106,3
CHEMBL5837180,3
CHEMBL5839498,3
CHEMBL5841669,3
CHEMBL5846320,3
CHEMBL5846746,3
CHEMBL5849595,3
CHEMBL5850263,3
CHEMBL5850426,3
CHEMBL5855181,3
CHEMBL5860863,3
CHEMBL5861408,3
CHEMBL5869828,3
CHEMBL5871237,3
CHEMBL5874010,3
CHEMBL5874469,3
CHEMBL5886475,3
CHEMBL5890757,3
CHEMBL5892384,3
CHEMBL5900752,3
CHEMBL5902781,3
CHEMBL5908705,3
CHEMBL5912040,3
CHEMBL5926142,3
CHEMBL5926234,3
CHEMBL5926652,3
CHEMBL5927233,3
CHEMBL5927490,3
CHEMBL5930565,3
CHEMBL5933849,3
CHEMBL5933859,3
CHEMBL5934302,3
CHEMBL5936875,3
CHEMBL5943322,3
CHEMBL5952392,3
CHEMBL5954593,3
CHEMBL5959655,3
CHEMBL5965551,3
CHEMBL5967894,3
CHEMBL5969609,3
CHEMBL5970123,3
CHEMBL5972799,3
CHEMBL5973051,3
CHEMBL5974706,3
CHEMBL5975525,3
CHEMBL5978538,3
CHEMBL5986354,3
CHEMBL5988920,3
CHEMBL5991143,3
CHEMBL5998681,3
CHEMBL6004070,3
CHEMBL6004869,3
CHEMBL6006180,3
CHEMBL6007627,3
CHEMBL6007833,3
CHEMBL6011841,3
CHEMBL6013533,3
CHEMBL6016064,3
CHEMBL6016138,3
CHEMBL6016292,3
CHEMBL6020463,3
CHEMBL6021270,3
CHEMBL6025725,3
CHEMBL6029215,3
CHEMBL6039551,3
CHEMBL6051179,3
CHEMBL6051199,3
CHEMBL6052945,3
CHEMBL6054685,3
CHEMBL6056553,3
CHEMBL60796,3
CHEMBL94664,3
CHEMBL271127,2
CHEMBL5944633,2
CHEMBL4749445,2
CHEMBL3954438,2
CHEMBL4777139,2
CHEMBL4754652,2
CHEMBL6009034,2
CHEMBL4754747,2
CHEMBL3927856,2
CHEMBL5787348,2
CHEMBL5985085,2
CHEMBL1223951,2
CHEMBL5810295,2
CHEMBL214731,2
CHEMBL4797729,2
CHEMBL6008411,2
CHEMBL4780699,2
CHEMBL5777517,2
CHEMBL5746935,2
CHEMBL5783757,2
CHEMBL5864206,2
CHEMBL5887380,2
CHEMBL5931292,2
CHEMBL4758424,2
CHEMBL6018540,2
CHEMBL4751971,2
CHEMBL5884532,2
CHEMBL4743256,2
CHEMBL3897632,2
CHEMBL4759597,2
CHEMBL4787725,2
CHEMBL53321,2
CHEMBL52794,2
CHEMBL216680,2
CHEMBL502835,2
CHEMBL532,2
CHEMBL572996,2
CHEMBL486278,2
CHEMBL299390,2
CHEMBL53866,2
CHEMBL300907,2
CHEMBL52348,2
CHEMBL214768,2
CHEMBL3983077,2
CHEMBL3936854,2
CHEMBL6051128,2
CHEMBL3093969,2
CHEMBL448,2
CHEMBL3975087,2
CHEMBL4782998,2
CHEMBL3966599,2
CHEMBL1118,2
CHEMBL270190,2
CHEMBL180672,2
CHEMBL362103,2
CHEMBL3093982,2
CHEMBL3622105,2
CHEMBL4061436,2
CHEMBL1760234,2
CHEMBL1945199,2
CHEMBL374731,2
CHEMBL477015,2
CHEMBL6175315,2
CHEMBL3422759,2
CHEMBL4475043,2
CHEMBL598270,2
CHEMBL584087,2
CHEMBL3093979,2
CHEMBL1346,2
CHEMBL412663,2
CHEMBL2403843,2
CHEMBL1927165,2
CHEMBL1111,2
CHEMBL3093976,2
CHEMBL1081687,2
CHEMBL4096145,2
CHEMBL2203713,2
CHEMBL9484,2
CHEMBL363295,2
CHEMBL511,2
CHEMBL2435415,2
CHEMBL2325205,2
CHEMBL1171837,2
CHEMBL4526283,2
CHEMBL3093959,2
CHEMBL5907444,2
CHEMBL2420702,2
CHEMBL184412,2
CHEMBL4546097,2
CHEMBL1170953,2
CHEMBL3604692,2
CHEMBL501480,2
CHEMBL3605120,2
CHEMBL2031958,2
CHEMBL1081867,2
CHEMBL2325199,2
CHEMBL567419,2
CHEMBL3775737,2
CHEMBL566324,2
CHEMBL4845961,2
CHEMBL583843,2
CHEMBL4106732,2
CHEMBL3604691,2
CHEMBL4288117,2
CHEMBL525413,2
CHEMBL1079462,2
CHEMBL1927161,2
CHEMBL3544911,2
CHEMBL2420704,2
CHEMBL172,2
CHEMBL1081746,2
CHEMBL2158563,2
CHEMBL3186509,2
CHEMBL3422757,2
CHEMBL4069631,2
CHEMBL2325200,2
CHEMBL299499,2
CHEMBL1916532,2
CHEMBL3609637,2
CHEMBL4874648,2
CHEMBL255511,2
CHEMBL182977,2
CHEMBL3425800,2
CHEMBL3604690,2
CHEMBL583621,2
CHEMBL4870418,2
CHEMBL3422760,2
CHEMBL3703085,2
CHEMBL1235773,2
CHEMBL243707,2
CHEMBL3775243,2
CHEMBL4247149,2
CHEMBL1079578,2
CHEMBL1081409,2
CHEMBL567620,2
CHEMBL707,2
CHEMBL4641839,2
CHEMBL4858888,2
CHEMBL2036782,2
CHEMBL3945735,2
CHEMBL4280886,2
CHEMBL3422758,2
CHEMBL583212,2
CHEMBL4857808,2
CHEMBL5191392,2
CHEMBL1223657,2
CHEMBL3754258,2
CHEMBL3753902,2
CHEMBL3612811,2
CHEMBL5395160,2
CHEMBL1951612,2
CHEMBL4082422,2
CHEMBL560739,2
CHEMBL4782430,2
CHEMBL1094521,2
CHEMBL3612923,2
CHEMBL3612925,2
CHEMBL1280,2
CHEMBL5271471,2
CHEMBL568294,2
CHEMBL2325212,2
CHEMBL5174392,2
CHEMBL3792423,2
CHEMBL4062339,2
CHEMBL1927167,2
CHEMBL559456,2
CHEMBL4648962,2
CHEMBL2441420,2
CHEMBL568296,2
CHEMBL87045,2
CHEMBL3425806,2
CHEMBL2069504,2
CHEMBL4064760,2
CHEMBL3775197,2
CHEMBL4242635,2
CHEMBL4241824,2
CHEMBL4250148,2
CHEMBL1258035,2
CHEMBL2207659,2
CHEMBL5089410,2
CHEMBL4063658,2
CHEMBL4877264,2
CHEMBL4644274,2
CHEMBL5590309,2
CHEMBL2441408,2
CHEMBL498042,2
CHEMBL3422755,2
CHEMBL5422051,2
CHEMBL3604799,2
CHEMBL4641672,2
CHEMBL1951914,2
CHEMBL1684950,2
CHEMBL2165068,2
CHEMBL2022739,2
CHEMBL2022729,2
CHEMBL566759,2
CHEMBL3696476,2
CHEMBL3900159,2
CHEMBL2424931,2
CHEMBL592374,2
CHEMBL3612927,2
CHEMBL3794155,2
CHEMBL498572,2
CHEMBL2424933,2
CHEMBL4518492,2
CHEMBL4645474,2
CHEMBL3774683,2
CHEMBL1189679,2
CHEMBL2207662,2
CHEMBL4249172,2
CHEMBL1079980,2
CHEMBL1081868,2
CHEMBL3774411,2
CHEMBL1080846,2
CHEMBL5412864,2
CHEMBL4084182,2
CHEMBL4293735,2
CHEMBL3612810,2
CHEMBL490,2
CHEMBL2207747,2
CHEMBL4215846,2
CHEMBL4092262,2
CHEMBL204459,2
CHEMBL513909,2
CHEMBL472168,2
CHEMBL4062753,2
CHEMBL4778540,2
CHEMBL387971,2
CHEMBL3785865,2
CHEMBL4846783,2
CHEMBL4855340,2
CHEMBL4086237,2
CHEMBL111,2
CHEMBL4635305,2
CHEMBL3692706,2
CHEMBL573216,2
CHEMBL567627,2
CHEMBL5409145,2
CHEMBL1097456,2
CHEMBL4636056,2
CHEMBL567202,2
CHEMBL5798072,2
CHEMBL83,2
CHEMBL3794292,2
CHEMBL52627,2
CHEMBL4095422,2
CHEMBL491571,2
CHEMBL1080126,2
CHEMBL1081934,2
CHEMBL5190339,2
CHEMBL1169572,2
CHEMBL5169763,2
CHEMBL3742114,2
CHEMBL3422762,2
CHEMBL3957193,2
CHEMBL579072,2
CHEMBL4756869,2
CHEMBL4068414,2
CHEMBL1952142,2
CHEMBL3604801,2
CHEMBL5934097,2
CHEMBL6057937,2
CHEMBL5992805,2
CHEMBL1760059,2
CHEMBL4084106,2
CHEMBL4216500,2
CHEMBL5438135,2
CHEMBL5817627,2
CHEMBL471994,2
CHEMBL2146755,2
CHEMBL4096468,2
CHEMBL5928632,2
CHEMBL4066256,2
CHEMBL4588384,2
CHEMBL5778932,2
CHEMBL2069397,2
CHEMBL2069398,2
CHEMBL4093031,2
CHEMBL4442663,2
CHEMBL5893791,2
CHEMBL4093284,2
CHEMBL3093972,2
CHEMBL488817,2
CHEMBL5896826,2
CHEMBL2424928,2
CHEMBL5927039,2
CHEMBL566543,2
CHEMBL5413224,2
CHEMBL5769402,2
CHEMBL256154,2
CHEMBL4853672,2
CHEMBL1771097,2
CHEMBL5877282,2
CHEMBL3922156,2
CHEMBL2207666,2
CHEMBL4239085,2
CHEMBL3774649,2
CHEMBL3774783,2
CHEMBL3775589,2
CHEMBL3978935,2
CHEMBL6048972,2
CHEMBL2111101,2
CHEMBL4463663,2
CHEMBL5178777,2
CHEMBL4638897,2
CHEMBL4559965,2
CHEMBL3612814,2
CHEMBL3422983,2
CHEMBL1927162,2
CHEMBL3582336,2
CHEMBL568523,2
CHEMBL531475,2
CHEMBL2324256,2
CHEMBL4789376,2
CHEMBL567417,2
CHEMBL3735506,2
CHEMBL2046888,2
CHEMBL4075906,2
CHEMBL1404,2
CHEMBL4207042,2
CHEMBL4470253,2
CHEMBL4297454,2
CHEMBL3221520,2
CHEMBL2046892,2
CHEMBL2206790,2
CHEMBL3290336,2
CHEMBL5198665,2
CHEMBL3814374,2
CHEMBL4637576,2
CHEMBL487063,2
CHEMBL2046891,2
CHEMBL4082282,2
CHEMBL4537828,2
CHEMBL3937515,2
CHEMBL1782376,2
CHEMBL4069245,2
CHEMBL2046889,2
CHEMBL5396132,2
CHEMBL3929578,2
CHEMBL4084845,2
CHEMBL1824043,2
CHEMBL4751724,2
CHEMBL4848514,2
CHEMBL2216904,2
CHEMBL1813065,2
CHEMBL3707392,2
CHEMBL3221523,2
CHEMBL5414274,2
CHEMBL511142,2
CHEMBL2046893,2
CHEMBL4081080,2
CHEMBL3946901,2
CHEMBL6043476,2
CHEMBL2046895,2
CHEMBL4103004,2
CHEMBL4517408,2
CHEMBL4851581,2
CHEMBL4633136,2
CHEMBL4540218,2
CHEMBL1951415,2
CHEMBL3938107,2
CHEMBL4641082,2
CHEMBL4633141,2
CHEMBL5088392,2
CHEMBL559251,2
CHEMBL2046890,2
CHEMBL3921885,2
CHEMBL1957002,2
CHEMBL4554053,2
CHEMBL4635680,2
CHEMBL243001,2
CHEMBL12780,2
CHEMBL300927,2
CHEMBL1956988,2
CHEMBL2046894,2
CHEMBL443476,2
CHEMBL4798032,2
CHEMBL4473519,2
CHEMBL53871,2
CHEMBL1956999,2
CHEMBL1956991,2
CHEMBL1956998,2
CHEMBL439849,2
CHEMBL4517296,2
CHEMBL52999,2
CHEMBL1956995,2
CHEMBL284348,2
CHEMBL716,2
CHEMBL1824044,2
CHEMBL53661,2
CHEMBL1957004,2
CHEMBL4641148,2
CHEMBL4565200,2
CHEMBL52832,2
CHEMBL415944,2
CHEMBL55835,2
CHEMBL4638321,2
CHEMBL298978,2
CHEMBL43,2
CHEMBL4640061,2
CHEMBL301956,2
CHEMBL1956989,2
CHEMBL60889,2
CHEMBL3814424,2
CHEMBL556312,2
CHEMBL3091687,2
CHEMBL4636306,2
CHEMBL488468,2
CHEMBL1095819,2
CHEMBL4099387,2
CHEMBL4465428,2
CHEMBL3323084,2
CHEMBL273235,2
CHEMBL1957012,2
CHEMBL1957001,2
CHEMBL1688,2
CHEMBL1080787,2
CHEMBL1082723,2
CHEMBL1088949,2
CHEMBL1089078,2
CHEMBL1091605,2
CHEMBL1091834,2
CHEMBL1091836,2
CHEMBL1092105,2
CHEMBL1092106,2
CHEMBL1092108,2
CHEMBL1092109,2
CHEMBL1093113,2
CHEMBL1093696,2
CHEMBL1094028,2
CHEMBL1094029,2
CHEMBL1094030,2
CHEMBL1214598,2
CHEMBL12186,2
CHEMBL1230468,2
CHEMBL1236904,2
CHEMBL1614712,2
CHEMBL163238,2
CHEMBL1642258,2
CHEMBL1683351,2
CHEMBL16900,2
